date,city,province,hair_color,laughing,height
2016-10-20,Calgary,Alberta,blue,1,195
2016-10-04,Calgary,Alberta,yellow,1,187
2016-10-27,Calgary,Alberta,yellow,1,169
2016-10-17,Calgary,Alberta,red,1,192
2016-10-24,Calgary,Alberta,blue,1,183
2016-10-04,Calgary,Alberta,yellow,1,196
2016-10-28,Calgary,Alberta,white,1,175
2016-10-27,Calgary,Alberta,green,1,153
2016-10-03,Calgary,Alberta,green,0,171
2016-10-05,Calgary,Alberta,white,1,174
2016-10-09,Calgary,Alberta,green,0,198
2016-10-08,Calgary,Alberta,yellow,0,189
2016-10-27,Calgary,Alberta,yellow,0,176
2016-10-05,Calgary,Alberta,yellow,1,154
2016-10-01,Calgary,Alberta,blue,1,172
2016-10-08,Calgary,Alberta,yellow,1,186
2016-10-28,Calgary,Alberta,yellow,0,164
2016-10-06,Calgary,Alberta,red,1,160
2016-10-02,Calgary,Alberta,yellow,0,179
2016-10-13,Calgary,Alberta,green,0,184
2016-10-26,Calgary,Alberta,yellow,1,180
2016-10-01,Calgary,Alberta,yellow,1,164
2016-10-02,Calgary,Alberta,green,1,151
2016-10-05,Calgary,Alberta,white,1,176
2016-10-27,Calgary,Alberta,white,0,163
2016-10-29,Calgary,Alberta,red,1,182
2016-10-04,Calgary,Alberta,yellow,1,192
2016-10-16,Calgary,Alberta,blue,0,156
2016-10-03,Calgary,Alberta,red,0,197
2016-10-07,Calgary,Alberta,green,1,172
2016-10-18,Calgary,Alberta,green,1,195
2016-10-07,Calgary,Alberta,green,0,189
2016-10-27,Calgary,Alberta,red,0,172
2016-10-25,Calgary,Alberta,yellow,1,182
2016-10-27,Calgary,Alberta,white,0,175
2016-10-01,Calgary,Alberta,yellow,0,175
2016-10-14,Calgary,Alberta,blue,1,190
2016-10-10,Calgary,Alberta,red,0,174
2016-10-16,Calgary,Alberta,red,0,169
2016-10-31,Calgary,Alberta,blue,1,185
2016-10-19,Calgary,Alberta,yellow,1,182
2016-10-17,Calgary,Alberta,blue,1,173
2016-10-09,Calgary,Alberta,blue,0,188
2016-10-30,Calgary,Alberta,blue,0,160
2016-10-25,Calgary,Alberta,green,1,162
2016-10-21,Calgary,Alberta,white,1,187
2016-10-27,Calgary,Alberta,blue,0,170
2016-10-06,Calgary,Alberta,green,0,189
2016-10-13,Calgary,Alberta,yellow,0,181
2016-10-12,Calgary,Alberta,white,0,174
2016-10-23,Calgary,Alberta,white,1,179
2016-10-30,Calgary,Alberta,green,0,192
2016-10-13,Calgary,Alberta,yellow,0,176
2016-10-26,Calgary,Alberta,red,1,196
2016-10-29,Calgary,Alberta,red,1,173
2016-10-07,Calgary,Alberta,yellow,0,181
2016-10-15,Calgary,Alberta,green,1,180
2016-10-10,Calgary,Alberta,white,0,156
2016-10-12,Calgary,Alberta,blue,1,158
2016-10-07,Calgary,Alberta,white,0,165
2016-10-10,Calgary,Alberta,blue,0,192
