date,city,province,hair_color,laughing,height
2016-10-25,Vancouver,British Columbia,white,1,150
2016-10-15,Vancouver,British Columbia,yellow,0,164
2016-10-26,Vancouver,British Columbia,yellow,0,172
2016-10-30,Vancouver,British Columbia,white,0,167
2016-10-01,Vancouver,British Columbia,green,1,183
2016-10-28,Vancouver,British Columbia,white,1,189
2016-10-17,Vancouver,British Columbia,blue,0,153
2016-10-17,Vancouver,British Columbia,green,0,192
2016-10-27,Vancouver,British Columbia,yellow,0,193
2016-10-18,Vancouver,British Columbia,red,1,179
2016-10-31,Vancouver,British Columbia,white,1,175
2016-10-28,Vancouver,British Columbia,yellow,0,164
2016-10-22,Vancouver,British Columbia,green,1,166
2016-10-07,Vancouver,British Columbia,white,0,155
2016-10-30,Vancouver,British Columbia,yellow,1,165
2016-10-02,Vancouver,British Columbia,yellow,1,166
2016-10-02,Vancouver,British Columbia,green,0,169
2016-10-15,Vancouver,British Columbia,red,1,152
2016-10-02,Vancouver,British Columbia,blue,1,190
2016-10-12,Vancouver,British Columbia,blue,1,178
2016-10-08,Vancouver,British Columbia,yellow,0,165
2016-10-27,Vancouver,British Columbia,red,1,195
2016-10-10,Vancouver,British Columbia,white,0,168
2016-10-12,Vancouver,British Columbia,blue,0,163
2016-10-28,Vancouver,British Columbia,red,1,188
2016-10-12,Vancouver,British Columbia,green,1,198
2016-10-13,Vancouver,British Columbia,red,1,180
2016-10-28,Vancouver,British Columbia,red,1,192
2016-10-06,Vancouver,British Columbia,white,0,185
2016-10-08,Vancouver,British Columbia,red,1,184
2016-10-23,Vancouver,British Columbia,yellow,0,151
2016-10-28,Vancouver,British Columbia,red,1,191
2016-10-17,Vancouver,British Columbia,green,0,197
2016-10-07,Vancouver,British Columbia,red,1,189
2016-10-19,Vancouver,British Columbia,green,0,191
2016-10-16,Vancouver,British Columbia,white,0,167
2016-10-17,Vancouver,British Columbia,green,1,171
2016-10-12,Vancouver,British Columbia,yellow,1,182
2016-10-05,Vancouver,British Columbia,white,0,196
2016-10-08,Vancouver,British Columbia,white,1,177
2016-10-10,Vancouver,British Columbia,blue,1,190
2016-10-29,Vancouver,British Columbia,blue,0,177
2016-10-13,Vancouver,British Columbia,green,1,189
2016-10-13,Vancouver,British Columbia,blue,0,156
2016-10-16,Vancouver,British Columbia,green,0,156
2016-10-15,Vancouver,British Columbia,white,0,194
2016-10-19,Vancouver,British Columbia,blue,0,183
2016-10-15,Vancouver,British Columbia,red,1,156
2016-10-30,Vancouver,British Columbia,yellow,0,161
2016-10-11,Vancouver,British Columbia,blue,0,186
2016-10-23,Vancouver,British Columbia,yellow,1,197
2016-10-15,Vancouver,British Columbia,green,0,175
2016-10-13,Vancouver,British Columbia,green,1,186
2016-10-22,Vancouver,British Columbia,yellow,1,198
2016-10-04,Vancouver,British Columbia,green,1,194
2016-10-23,Vancouver,British Columbia,red,1,161
2016-10-12,Vancouver,British Columbia,red,0,180
2016-10-08,Vancouver,British Columbia,yellow,0,189
2016-10-27,Vancouver,British Columbia,green,1,194
2016-10-11,Vancouver,British Columbia,white,1,150
