date,city,province,hair_color,laughing,height
2016-10-17,Winnipeg,Manitoba,white,1,184
2016-10-14,Winnipeg,Manitoba,green,1,187
2016-10-28,Winnipeg,Manitoba,blue,0,196
2016-10-20,Winnipeg,Manitoba,red,1,161
2016-10-24,Winnipeg,Manitoba,red,1,174
2016-10-24,Winnipeg,Manitoba,white,1,186
2016-10-13,Winnipeg,Manitoba,yellow,0,180
2016-10-11,Winnipeg,Manitoba,yellow,0,157
2016-10-08,Winnipeg,Manitoba,white,0,198
2016-10-14,Winnipeg,Manitoba,white,1,191
2016-10-18,Winnipeg,Manitoba,white,0,159
2016-10-22,Winnipeg,Manitoba,white,1,152
2016-10-03,Winnipeg,Manitoba,blue,0,174
2016-10-22,Winnipeg,Manitoba,yellow,0,157
2016-10-09,Winnipeg,Manitoba,blue,1,162
2016-10-03,Winnipeg,Manitoba,green,0,193
2016-10-25,Winnipeg,Manitoba,blue,1,175
2016-10-01,Winnipeg,Manitoba,blue,1,169
2016-10-14,Winnipeg,Manitoba,yellow,0,183
2016-10-20,Winnipeg,Manitoba,blue,0,168
2016-10-08,Winnipeg,Manitoba,red,0,163
2016-10-15,Winnipeg,Manitoba,blue,0,163
2016-10-09,Winnipeg,Manitoba,red,0,179
2016-10-17,Winnipeg,Manitoba,white,0,161
2016-10-22,Winnipeg,Manitoba,green,0,152
2016-10-08,Winnipeg,Manitoba,red,1,162
2016-10-22,Winnipeg,Manitoba,white,1,192
2016-10-10,Winnipeg,Manitoba,red,0,156
2016-10-08,Winnipeg,Manitoba,blue,1,185
2016-10-05,Winnipeg,Manitoba,red,1,187
2016-10-30,Winnipeg,Manitoba,blue,1,156
2016-10-26,Winnipeg,Manitoba,white,0,182
2016-10-06,Winnipeg,Manitoba,blue,1,161
2016-10-11,Winnipeg,Manitoba,red,1,156
2016-10-31,Winnipeg,Manitoba,yellow,1,156
2016-10-28,Winnipeg,Manitoba,blue,1,178
2016-10-06,Winnipeg,Manitoba,white,0,182
2016-10-04,Winnipeg,Manitoba,red,0,198
2016-10-19,Winnipeg,Manitoba,blue,1,184
2016-10-07,Winnipeg,Manitoba,blue,0,152
2016-10-14,Winnipeg,Manitoba,yellow,1,182
2016-10-01,Winnipeg,Manitoba,yellow,0,186
2016-10-28,Winnipeg,Manitoba,green,0,165
2016-10-05,Winnipeg,Manitoba,blue,1,154
2016-10-23,Winnipeg,Manitoba,yellow,1,189
2016-10-01,Winnipeg,Manitoba,yellow,0,175
2016-10-10,Winnipeg,Manitoba,red,1,172
2016-10-09,Winnipeg,Manitoba,green,0,187
2016-10-05,Winnipeg,Manitoba,blue,0,167
2016-10-23,Winnipeg,Manitoba,white,1,191
2016-10-08,Winnipeg,Manitoba,white,0,172
2016-10-18,Winnipeg,Manitoba,white,1,190
2016-10-28,Winnipeg,Manitoba,blue,1,176
2016-10-25,Winnipeg,Manitoba,blue,1,173
2016-10-06,Winnipeg,Manitoba,yellow,1,167
2016-10-01,Winnipeg,Manitoba,green,0,160
2016-10-17,Winnipeg,Manitoba,red,0,173
2016-10-24,Winnipeg,Manitoba,green,0,176
2016-10-02,Winnipeg,Manitoba,blue,0,155
2016-10-21,Winnipeg,Manitoba,blue,1,195
2016-10-31,Winnipeg,Manitoba,yellow,0,181
2016-10-17,Winnipeg,Manitoba,blue,0,156
2016-10-14,Winnipeg,Manitoba,yellow,1,155
