date,city,province,hair_color,laughing,height
2016-10-22,St. John's,Newfoundland and Labrador,blue,0,178
2016-10-20,St. John's,Newfoundland and Labrador,yellow,1,178
2016-10-08,St. John's,Newfoundland and Labrador,green,1,183
2016-10-30,St. John's,Newfoundland and Labrador,yellow,1,188
2016-10-29,St. John's,Newfoundland and Labrador,red,0,192
2016-10-21,St. John's,Newfoundland and Labrador,red,0,177
2016-10-29,St. John's,Newfoundland and Labrador,white,0,176
2016-10-26,St. John's,Newfoundland and Labrador,white,0,168
2016-10-27,St. John's,Newfoundland and Labrador,blue,0,157
2016-10-27,St. John's,Newfoundland and Labrador,white,1,197
