date,city,province,hair_color,laughing,height
2016-10-25,Montreal,Quebec,white,0,178
2016-10-11,Montreal,Quebec,white,0,159
2016-10-30,Montreal,Quebec,white,0,189
2016-10-10,Montreal,Quebec,blue,0,176
2016-10-14,Montreal,Quebec,white,1,162
2016-10-12,Montreal,Quebec,green,1,181
2016-10-12,Montreal,Quebec,yellow,0,199
2016-10-03,Montreal,Quebec,blue,0,192
2016-10-24,Montreal,Quebec,yellow,1,197
2016-10-10,Montreal,Quebec,green,1,164
2016-10-12,Montreal,Quebec,blue,1,173
2016-10-03,Montreal,Quebec,red,1,154
2016-10-31,Montreal,Quebec,yellow,1,170
2016-10-19,Montreal,Quebec,white,0,184
2016-10-22,Montreal,Quebec,red,1,156
2016-10-01,Montreal,Quebec,blue,0,189
2016-10-21,Montreal,Quebec,green,0,162
2016-10-30,Montreal,Quebec,blue,0,166
2016-10-11,Montreal,Quebec,white,0,185
2016-10-04,Montreal,Quebec,yellow,0,191
2016-10-04,Montreal,Quebec,red,0,173
2016-10-12,Montreal,Quebec,white,0,155
2016-10-31,Montreal,Quebec,red,0,194
2016-10-09,Montreal,Quebec,green,0,173
2016-10-29,Montreal,Quebec,red,1,152
2016-10-01,Montreal,Quebec,white,1,192
2016-10-22,Montreal,Quebec,blue,1,182
2016-10-11,Montreal,Quebec,white,0,186
2016-10-02,Montreal,Quebec,green,0,158
2016-10-05,Montreal,Quebec,white,0,167
2016-10-09,Montreal,Quebec,red,1,188
2016-10-28,Montreal,Quebec,red,0,161
2016-10-28,Montreal,Quebec,green,0,179
2016-10-14,Montreal,Quebec,green,1,194
2016-10-04,Montreal,Quebec,yellow,0,172
2016-10-21,Montreal,Quebec,green,1,188
2016-10-20,Montreal,Quebec,blue,1,177
2016-10-13,Montreal,Quebec,white,0,184
2016-10-09,Montreal,Quebec,green,0,180
2016-10-27,Montreal,Quebec,yellow,0,152
2016-10-19,Montreal,Quebec,blue,1,160
2016-10-11,Montreal,Quebec,blue,1,182
2016-10-12,Montreal,Quebec,white,1,174
2016-10-13,Montreal,Quebec,blue,1,161
2016-10-05,Montreal,Quebec,green,1,162
2016-10-04,Montreal,Quebec,yellow,1,166
2016-10-03,Montreal,Quebec,white,1,173
2016-10-14,Montreal,Quebec,yellow,0,176
2016-10-12,Montreal,Quebec,green,1,190
2016-10-31,Montreal,Quebec,green,0,174
2016-10-25,Montreal,Quebec,red,0,153
2016-10-13,Montreal,Quebec,yellow,1,168
2016-10-09,Montreal,Quebec,yellow,1,154
2016-10-30,Montreal,Quebec,blue,0,192
2016-10-25,Montreal,Quebec,white,1,180
2016-10-08,Montreal,Quebec,red,1,187
2016-10-21,Montreal,Quebec,yellow,0,162
2016-10-17,Montreal,Quebec,white,0,177
2016-10-14,Montreal,Quebec,red,0,154
2016-10-09,Montreal,Quebec,white,0,171
2016-10-05,Montreal,Quebec,blue,1,169
2016-10-10,Montreal,Quebec,blue,1,158
2016-10-13,Montreal,Quebec,blue,1,176
2016-10-20,Montreal,Quebec,green,1,183
2016-10-31,Montreal,Quebec,white,1,189
2016-10-02,Montreal,Quebec,green,1,165
2016-10-29,Montreal,Quebec,yellow,0,165
2016-10-02,Montreal,Quebec,white,0,176
2016-10-29,Montreal,Quebec,red,1,188
2016-10-21,Montreal,Quebec,blue,1,159
2016-10-14,Montreal,Quebec,blue,1,197
2016-10-30,Montreal,Quebec,white,1,174
2016-10-27,Montreal,Quebec,blue,0,185
2016-10-22,Montreal,Quebec,white,0,181
2016-10-12,Montreal,Quebec,green,1,171
2016-10-30,Montreal,Quebec,red,1,156
2016-10-05,Montreal,Quebec,red,0,151
2016-10-08,Montreal,Quebec,white,1,172
2016-10-21,Montreal,Quebec,yellow,1,155
2016-10-12,Montreal,Quebec,red,0,181
2016-10-01,Montreal,Quebec,blue,1,183
2016-10-27,Montreal,Quebec,blue,1,195
2016-10-17,Montreal,Quebec,blue,1,195
2016-10-29,Montreal,Quebec,green,0,163
2016-10-29,Montreal,Quebec,red,1,162
2016-10-18,Montreal,Quebec,red,1,171
2016-10-18,Montreal,Quebec,white,1,186
2016-10-15,Montreal,Quebec,blue,1,176
2016-10-27,Montreal,Quebec,yellow,1,153
2016-10-28,Montreal,Quebec,green,1,155
2016-10-27,Montreal,Quebec,red,1,195
2016-10-01,Montreal,Quebec,green,0,170
2016-10-30,Montreal,Quebec,yellow,0,197
2016-10-17,Montreal,Quebec,red,0,150
2016-10-16,Montreal,Quebec,green,0,192
2016-10-01,Montreal,Quebec,green,1,190
2016-10-04,Montreal,Quebec,yellow,1,189
2016-10-16,Montreal,Quebec,white,0,169
2016-10-11,Montreal,Quebec,white,0,165
2016-10-30,Montreal,Quebec,red,0,161
2016-10-17,Montreal,Quebec,green,1,190
2016-10-14,Montreal,Quebec,blue,1,180
2016-10-04,Montreal,Quebec,yellow,0,179
