date,city,province,hair_color,laughing,height
2016-10-23,Saskatoon,Saskatchewan,white,0,196
2016-10-24,Saskatoon,Saskatchewan,blue,0,166
2016-10-10,Saskatoon,Saskatchewan,green,0,163
2016-10-20,Saskatoon,Saskatchewan,yellow,1,189
2016-10-08,Saskatoon,Saskatchewan,green,1,158
2016-10-23,Saskatoon,Saskatchewan,red,1,191
2016-10-07,Saskatoon,Saskatchewan,white,1,178
2016-10-22,Saskatoon,Saskatchewan,yellow,0,198
2016-10-23,Saskatoon,Saskatchewan,yellow,1,169
2016-10-05,Saskatoon,Saskatchewan,red,1,189
2016-10-30,Saskatoon,Saskatchewan,white,1,163
2016-10-09,Saskatoon,Saskatchewan,red,1,180
2016-10-23,Saskatoon,Saskatchewan,green,0,167
2016-10-02,Saskatoon,Saskatchewan,white,0,196
2016-10-19,Saskatoon,Saskatchewan,yellow,0,174
2016-10-16,Saskatoon,Saskatchewan,blue,1,155
2016-10-19,Saskatoon,Saskatchewan,yellow,1,157
2016-10-10,Saskatoon,Saskatchewan,white,1,194
2016-10-16,Saskatoon,Saskatchewan,white,1,166
2016-10-19,Saskatoon,Saskatchewan,red,0,184
2016-10-24,Saskatoon,Saskatchewan,red,0,154
2016-10-15,Saskatoon,Saskatchewan,blue,1,174
